24,"46185","Chamapa-Lechería","1. Solicitud","Petrolizadora Elton",50,27,"27"
25,"46188","México-Toluca","1. Solicitud","Perfiladora Wirgent",250,27,"27"
25,"46188","México-Toluca","1. Solicitud","Vogele Guion",100,27,"27"
25,"46188","México-Toluca","1. Solicitud","Tandem Hamm",50,27,"27"
25,"46188","México-Toluca","1. Solicitud","Limpieza",20,27,"27"
25,"46188","México-Toluca","1. Solicitud","Neuomatico Dynapac",50,27,"27"
25,"46188","México-Toluca","1. Solicitud","Barredora Broce",40,27,"27"
25,"46188","México-Toluca","1. Solicitud","Retroexcavadora",60,27,"27"
25,"46188","México-Toluca","1. Solicitud","Petrolizadora Elton",50,27,"27"
25,"46188","Lerma - Tres Marías","1. Solicitud","Vogel",90,27,"27"
25,"46188","Lerma - Tres Marías","1. Solicitud","Neuomatico",40,27,"27"
25,"46188","Lerma - Tres Marías","1. Solicitud","Barredora",40,27,"27"
25,"","Bacheo Toluca","1. Solicitud","Retroexcavadora",70,27,"27"
25,"","Bacheo Toluca","1. Solicitud","Perfiladora",200,27,"27"
25,"","Bacheo Toluca","1. Solicitud","Doble Rodillo",40,27,"27"
25,"46189","Lerma - Tres Marías","1. Solicitud","Limpieza",25,27,"27"
25,"46189","Lerma - Tres Marías","1. Solicitud","Petrolizadora",60,27,"27"
25,"46189","Lerma - Tres Marías","1. Solicitud","Tandem Hamm",50,27,"27"
25,"46189","Lerma - Tres Marías","1. Solicitud","Perfiladora",250,27,"27"
25,"46189","Lerma - Tres Marías","1. Solicitud","Barredora",70,27,"27"
25,"46189","Lerma - Tres Marías","1. Solicitud","Retroexcavadora",50,27,"27"
25,"46189","México-Toluca","1. Solicitud","Perfiladora Wirgent",250,27,"27"
25,"46189","México-Toluca","1. Solicitud","Vogele Guion",200,27,"27"
25,"46189","México-Toluca","1. Solicitud","Limpieza",20,27,"27"
25,"46189","México-Toluca","1. Solicitud","Tandem Hamm",50,27,"27"
25,"46189","México-Toluca","1. Solicitud","Neuomatico",50,27,"27"
25,"46189","México-Toluca","1. Solicitud","Barredora Broce",40,27,"27"
25,"46189","México-Toluca","1. Solicitud","Retroexcavadora",50,27,"27"
25,"46189","México-Toluca","1. Solicitud","Petrolizadora Elton",50,27,"27"
25,"46190","Lerma - Tres Marías","1. Solicitud","Pipa",50,27,"27"
25,"46190","Lerma - Tres Marías","1. Solicitud","Neuomatico",30,27,"27"
25,"46190","Lerma - Tres Marías","1. Solicitud","Doble Rodillo",50,27,"27"
25,"46190","Lerma - Tres Marías","1. Solicitud","Vogel",130,27,"27"
25,"46190","Lerma - Tres Marías","1. Solicitud","Limpieza",20,27,"27"
25,"46190","Lerma - Tres Marías","1. Solicitud","Rastrillador",160,27,"27"
25,"46190","Lerma - Tres Marías","1. Solicitud","Petrolizadora",70,27,"27"
25,"46190","Lerma - Tres Marías","1. Solicitud","Perfiladora",250,27,"27"
25,"46190","Lerma - Tres Marías","1. Solicitud","Pipa",150,27,"27"
25,"46190","México-Toluca","1. Solicitud","Perfiladora Wirgent",250,27,"27"
25,"46190","México-Toluca","1. Solicitud","Vogele Guion",100,27,"27"
25,"46190","México-Toluca","1. Solicitud","Limpieza",20,27,"27"
25,"46190","México-Toluca","1. Solicitud","Tandem Hamm",50,27,"27"
25,"46190","México-Toluca","1. Solicitud","Neuomatico",50,27,"27"
25,"46190","México-Toluca","1. Solicitud","Barredora Broce",30,27,"27"
25,"46190","México-Toluca","1. Solicitud","Retroexcavadora",80,27,"27"
